Item ID,Name,Width (cm),Depth (cm),Height (cm),Mass (kg),Priority (1-100),Expiry Date (ISO Format),Usage Limit,Preferred Zone
001,First Aid Kit,39,20,89,29,61,2026-08-06,50 uses,Command Center
002,Battery Pack,23,42,45,35,2,2027-08-04,10 uses,Command Center
003,Battery Pack,48,7,26,21,59,2027-07-22,10 uses,Cargo Hold
004,Water Container,18,31,32,17,17,2025-10-25,10 uses,Engineering
005,Oxygen Cylinder,33,23,88,46,38,2026-01-14,5 uses,Airlock
006,Oxygen Cylinder,30,19,38,15,41,2027-09-26,100 uses,Crew Quarters
007,Tool Kit,28,25,97,22,49,2027-11-10,10 uses,Medical Bay
008,Water Container,19,18,71,23,86,2025-12-11,5 uses,Command Center
009,Oxygen Cylinder,6,29,10,29,57,2026-07-18,50 uses,Engineering
010,Battery Pack,48,18,35,44,59,2027-07-05,50 uses,Airlock
011,Food Packet,42,35,58,26,63,2027-09-23,50 uses,Airlock
012,Food Packet,48,40,41,21,51,2027-12-22,5 uses,Crew Quarters
013,Medical Supplies,24,44,65,28,56,2026-08-12,10 uses,Engineering
014,Oxygen Cylinder,26,23,26,20,29,2027-09-16,30 uses,Command Center
015,Battery Pack,15,44,8,16,77,2026-12-10,10 uses,Engineering
016,Battery Pack,38,22,33,22,81,2026-12-28,10 uses,Medical Bay
017,Food Packet,28,47,26,12,90,2027-04-13,5 uses,Command Center
018,Food Packet,44,22,92,49,38,2027-03-07,5 uses,Medical Bay
019,Water Container,29,12,75,49,18,2026-06-10,100 uses,Engineering
020,First Aid Kit,14,16,99,4,57,2026-10-16,10 uses,Engineering
021,Oxygen Cylinder,28,32,76,4,41,2025-06-14,10 uses,Airlock
022,Food Packet,5,17,85,15,99,2027-10-29,30 uses,Cargo Hold
023,Food Packet,20,33,36,25,8,2025-12-03,5 uses,Crew Quarters
024,Food Packet,49,37,6,7,66,2025-10-02,10 uses,Engineering
025,Battery Pack,18,42,52,26,24,2025-04-30,5 uses,Cargo Hold
026,Oxygen Cylinder,31,15,53,50,93,2027-04-26,30 uses,Airlock
027,Tool Kit,29,28,76,43,81,2025-06-06,10 uses,Medical Bay
028,Battery Pack,25,29,25,48,4,2027-01-06,5 uses,Command Center
029,Medical Supplies,9,44,22,26,47,2026-11-17,50 uses,Medical Bay
030,Medical Supplies,50,8,37,48,84,2026-03-16,10 uses,Engineering
031,Battery Pack,47,21,33,1,42,2025-10-28,30 uses,Command Center
032,Battery Pack,25,22,95,27,23,2027-07-03,100 uses,Command Center
033,Oxygen Cylinder,35,30,76,18,9,2026-05-26,30 uses,Cargo Hold
